"Chromatography","MTBLS5","gas chromatography-mass spectrometry","MTBLS5"
"Chromatography","MTBLS52","ultra high performance liquid chromatography","MTBLS52"
"Chromatography","MTBLS52","high-performance liquid chromatography-mass spectrometry","MTBLS52"
"Chromatography","MTBLS54","gas chromatography-mass spectrometry","MTBLS54"
"Chromatography","MTBLS55","ultra-performance liquid chromatography-mass spectrometry","MTBLS55"
"Chromatography","MTBLS6","gas chromatography-mass spectrometry","MTBLS6"
"Chromatography","MTBLS67","high-performance liquid chromatography-mass spectrometry","MTBLS67"
"Chromatography","MTBLS7","gas chromatography-mass spectrometry","MTBLS7"
"Chromatography","MTBLS71","Gas Chromatography-Mass Spectrometry","MTBLS71"
"Chromatography","MTBLS72","ultra-performance liquid chromatography-mass spectrometry","MTBLS72"
"Chromatography","MTBLS74","ultra-performance liquid chromatography-mass spectrometry","MTBLS74"
"Chromatography","MTBLS75","gas chromatography","MTBLS75"
"Chromatography","MTBLS8","gas chromatography-mass spectrometry","MTBLS8"
"Chromatography","MTBLS81","liquid chromatography mass spectrometry platform","MTBLS81"
"Chromatography","MTBLS85","high-performance liquid chromatography","MTBLS85"
"Chromatography","MTBLS87","high-performance liquid chromatography-mass spectrometry","MTBLS87"
"Chromatography","MTBLS88","high-performance liquid chromatography-mass spectrometry","MTBLS88"
"Chromatography","MTBLS90","ultra-performance liquid chromatography-mass spectrometry","MTBLS90"
"Chromatography","MTBLS93","ultra-performance liquid chromatography-mass spectrometry","MTBLS93"
"Chromatography","MTBLS95","gas chromatography-mass spectrometry","MTBLS95"
"Chromatography","MTBLS96","gas chromatography electron ionisation mass spectrometry","MTBLS96"
"Chromatography","MTBLS99","liquid chromatography-mass spectrometry","MTBLS99"
